Breed,Origin,fci,akc,NKC,ankc,tkc,nzkc,ukc
German Pinscher,Germany,Group 02 Section 01 #184,Working Group,Group 06 (Utility),Group 06 - Non-Sporting,Working,Utility,Terrier
German Rough-haired Pointer,Germany,,,,,,,Gun Dog
German Shepherd Dog,Germany,Group 01 Section 01 #166,Herding Group,Group 05 (Working Dogs),Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
German Shorthaired Pointer,Germany,Group 07 Section 01 #119,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
German Spaniel,Germany,Group 08 Section 02 #104,,,,,,Gun Dog
German Spitz,Germany,Group 05 Section 04 #097,FSS,Group 07 (Non Sporting),,Utility,Non Sporting,Northern Breed
German Wirehaired Pointer,Germany,Group 07 Section 01 #098,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Giant Schnauzer,Germany,Group 02 Section 01 #181,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Herding Dog
Glen of Imaal Terrier,Ireland,Group 03 Section 01 #302,Terrier Group,Group 02 (Terriers),,Terrier,Terrier,Terrier
Golden Retriever,Scotland,Group 08 Section 01 #111,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Sporting Dog,Gundogs,Gun Dog
Gordon Setter,Scotland,Group 07 Section 02 #006,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Gran Mastín de Borínquen,Puerto Rico,,,,,,,
Grand Anglo-Français Blanc et Noir,France,Group 06 Section 02 #323,,,,,,Scenthound
Grand Anglo-Français Blanc et Orange,France,Group 06 Section 02 #324,,,,,,Scenthound
Grand Anglo-Français Tricolore,France,Group 06 Section 02 #322,,,,,,Scenthound
Grand Griffon Vendéen,France,Group 06 Section 01 #282,,,,,,
Great Dane,Germany,Group 02 Section 02 #235,Working Group,,,Working,Non Sporting,Guardian Dog
Great Pyrenees,"France, Spain",Group 02 Section 02 #137,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Pastoral,Utility,Guardian Dog
Greater Swiss Mountain Dog,Switzerland,Group 02 Section 03 #058,Working Group,,Working,,,Guardian Dog
Greek Harehound,Greece,Group 06 Section 1.2 #214,,,,,,Scenthound Group
Greenland Dog,Greenland,Group 05 Section 01 #274,,,Group 03 - Working Dogs,Working,,Northern Breed
Greyhound,,Group 10 Section 03 #158,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Griffon Bleu de Gascogne,France,Group 06 Section 01 #032,,,,,,Scenthound
Griffon Bruxellois,Belgium,"Group 09 Section 03 #080,081,082",Toy Group,Group 01 (Toy),Group 05(Toy),Toy,Toy,Companion Dog
Griffon Fauve de Bretagne,France,Group 06 Section 01 #066,,,,,,Scenthound
Griffon Nivernais,France,Group 06 Section 01 #017,,,,,,Scenthound
Hamiltonstövare,Sweden,Group 06 Section 01 #132,,Group 04 (Hounds),,Hound,Hound,Scenthound
Hanover Hound,Germany,Group 06 Section 02 #213,,,,,,Scenthound
Hare Indian Dog,"Canada, United States",Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Harrier,United Kingdom,Group 06 Section 01 #295,Hound Group,Group 04 (Hounds),Group 02 (Hounds),,Hound,Scenthound
Havanese,Western Mediterranean Region,Group 09 Section 01 #250,Toy Group,Group 01 (Toys),Group 05 — Toys,Toy,Toy,Companion Dog
Hawaiian Poi Dog,United States,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Himalayan Sheepdog,Nepal,,,,,,,
Hokkaido,Japan,Group 05 Section 05 #261,,,,,,
Hortaya Borzaya,"Ukraine,Southern Russia,Belarus",,,,,,,
Hovawart,Germany,Group 02 Section 02 #190,,FSS,Group 02 - Working,Working,,Guardian Dog
Huntaway,New Zealand,,,,,,,
Hygenhund,Norway,,,,,,,
Ibizan Hound,Spain,Group 05 Section 07 #089,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Sighthound and Pariah
Icelandic Sheepdog,Iceland,Group 05 Section 03 #289,Herding Group,,Group 07 - Herding,,Working,Northern Breed
Indian Spitz,India,,,,,,,
Irish Red and White Setter,Ireland,Group 07 Section 02 #330,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Irish Setter,Ireland,Group 07 Section 02 #120,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Irish Terrier,Ireland,Group 03 Section 01 #139,Terrier Group,Group 02 (Terriers),Group 04 - Terrier,Terrier,Terrier,Terrier
Irish Water Spaniel,Ireland,Group 08 Section 03 #124,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Irish Wolfhound,Ireland,Group 10 Section 02 #160,Hound Group,Group 04 (Hound),Group 02 (Hound),Hound,Hound,Sighthound and Pariah
Istrian Coarse-haired Hound,Croatia,Group 06 Section 01 #152,,,,,,Scenthound
Istrian Shorthaired Hound,Croatia,Group 06 Section 01 #151,,,,,,Scenthound
Italian Greyhound,Italy,Group 10 Section 03 #200,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Jack Russell Terrier,England,Group 03 Section 02 #345,,Group 2 (Terriers),,,Terrier,Terrier
Jagdterrier,Germany,Group 03 Section 01 #103,,,,,,Terrier
Jämthund,Sweden,Group 05 Section 02 #042,,,,,,Northern Breed
Japanese Chin,Japan,Group 09 Section 08 #206,Toy Group,Group 01 (Toys),Group 05 (Toys),Toy,Toy,Companion Dog
Japanese Spitz,Japan,Group 05 Section 05 #262,,7 (Non-Sporting),"VI, Non-Sporting",Utility,Non Sporting,Northern Breed
Japanese Terrier,Japan,Group 03 Section 02 #259,,,,,,
Kaikadi,India,,,,,,,
Kai Ken,Japan,Group 05 Section 05 #317,FSS,,,,,
Kangal Dog,Turkey,,,Group 06 (Utility),,Pastoral,Utility,Guardian Dog
Kanni,India,,,,,,,
Karakachan Dog,Bulgaria,,,,,,,
Karelian Bear Dog,Finland,Group 05 Section 02 #048,FSS,,Group 03 - Working Dogs,,,Northern Breed
Karst Shepherd,Slovenia,Group 02 Section 02 #278,,,,,,Guardian Dog
Keeshond,"Netherlands,Germany",Group 05 Section 04 #097,Non-Sporting Group,Group 07 (Non-sporting),Group 06 (Non-sporting),Utility,Non Sporting,Northern Breed
Kerry Beagle,Ireland,,,,,,,
Kerry Blue Terrier,Ireland,Group 03 Section 01 #003,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
King Charles Spaniel,England,Group 09 Section 07 #128,Toy Group,Group 01 Toys,Group 05 - Toys,Toy,Toy,Companion Dog
King Shepherd,United States,,,,,,,
Kintamani,Indonesia,,,,,,,
Kishu,Japan,Group 05 Section 05 #318,FSS,,,,,
